mapres10,papres10,paeduc,maeduc,educ,degree,born,reg16,incom16,father_factor,mother_factor,high_school
25,46,6,5,14,associate/junior college,no,pacific,average,Above and Equal to Median,Lower than Median,1
28,43,12,12,16,bachelor's,yes,west south central,far below average,Lower than Median,Lower than Median,1
45,38,12,12,12,high school,yes,west north central,average,Lower than Median,Above and Equal to Median,0
49,46,14,14,14,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
39,35,12,12,13,high school,yes,west north central,average,Lower than Median,Above and Equal to Median,0
25,46,5,5,13,high school,yes,west north central,below average,Above and Equal to Median,Lower than Median,0
31,50,12,12,16,graduate,yes,west north central,average,Above and Equal to Median,Lower than Median,1
21,33,13,13,13,associate/junior college,yes,west north central,average,Lower than Median,Lower than Median,1
31,28,13,12,16,bachelor's,yes,west north central,below average,Lower than Median,Lower than Median,1
47,38,12,14,20,bachelor's,yes,west north central,average,Lower than Median,Above and Equal to Median,1
31,48,12,12,14,associate/junior college,yes,west north central,below average,Above and Equal to Median,Lower than Median,1
48,62,12,14,14,high school,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,0
47,49,12,12,18,graduate,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,1
59,59,20,20,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
61,63,12,16,14,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
31,49,12,12,10,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
48,50,12,12,13,high school,yes,west north central,below average,Above and Equal to Median,Above and Equal to Median,0
65,35,12,12,12,high school,yes,west north central,below average,Lower than Median,Above and Equal to Median,0
64,44,12,20,12,high school,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,0
31,45,12,8,12,high school,yes,west north central,below average,Above and Equal to Median,Lower than Median,0
25,46,8,12,12,high school,yes,west north central,far below average,Above and Equal to Median,Lower than Median,0
38,31,12,9,14,less than high school,no,pacific,far below average,Lower than Median,Lower than Median,0
64,62,13,16,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
26,35,11,11,14,associate/junior college,yes,west north central,average,Lower than Median,Lower than Median,1
48,28,8,12,18,associate/junior college,yes,west north central,average,Lower than Median,Above and Equal to Median,1
25,25,8,8,12,high school,yes,west north central,average,Lower than Median,Lower than Median,0
53,60,16,15,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
32,42,7,8,16,bachelor's,yes,west north central,average,Lower than Median,Lower than Median,1
25,46,12,12,16,bachelor's,yes,mountain,above average,Above and Equal to Median,Lower than Median,1
61,67,16,18,16,bachelor's,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,1
48,42,9,12,12,high school,yes,mountain,average,Lower than Median,Above and Equal to Median,0
32,38,10,12,13,high school,yes,mountain,above average,Lower than Median,Lower than Median,0
31,46,12,12,13,high school,yes,mountain,below average,Above and Equal to Median,Lower than Median,0
31,51,14,14,18,bachelor's,yes,mountain,above average,Above and Equal to Median,Lower than Median,1
31,27,11,12,13,high school,yes,mountain,below average,Lower than Median,Lower than Median,0
38,70,16,12,18,graduate,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
47,45,12,12,12,high school,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,0
64,44,12,12,12,high school,yes,mountain,below average,Above and Equal to Median,Above and Equal to Median,0
32,44,14,12,12,high school,yes,mountain,below average,Above and Equal to Median,Lower than Median,0
61,73,20,12,20,graduate,yes,mountain,average,Above and Equal to Median,Above and Equal to Median,1
31,45,20,16,17,bachelor's,yes,mountain,average,Above and Equal to Median,Lower than Median,1
69,69,18,16,14,high school,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,0
47,46,12,12,12,high school,yes,mountain,below average,Above and Equal to Median,Above and Equal to Median,0
48,66,16,12,16,bachelor's,yes,mountain,below average,Above and Equal to Median,Above and Equal to Median,1
25,47,10,12,12,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
61,45,16,13,16,high school,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,0
28,24,12,16,18,associate/junior college,yes,mountain,below average,Lower than Median,Lower than Median,1
45,62,13,12,12,high school,no,mountain,average,Above and Equal to Median,Above and Equal to Median,0
64,80,20,20,15,high school,yes,mountain,above average,Above and Equal to Median,Above and Equal to Median,0
25,42,10,12,18,graduate,yes,mountain,average,Lower than Median,Lower than Median,1
64,27,12,16,17,bachelor's,yes,west north central,below average,Lower than Median,Above and Equal to Median,1
36,37,13,14,14,associate/junior college,no,mountain,below average,Lower than Median,Lower than Median,1
55,37,12,16,19,graduate,yes,mountain,average,Lower than Median,Above and Equal to Median,1
48,35,13,14,20,graduate,yes,middle atlantic,average,Lower than Median,Above and Equal to Median,1
61,39,15,12,12,less than high school,yes,east north central,above average,Lower than Median,Above and Equal to Median,0
25,35,12,12,16,bachelor's,yes,east north central,average,Lower than Median,Lower than Median,1
30,33,8,12,14,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
48,72,13,14,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
45,44,16,15,15,high school,no,pacific,far below average,Above and Equal to Median,Above and Equal to Median,0
61,72,18,16,18,graduate,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
33,44,12,12,16,bachelor's,yes,mountain,far below average,Above and Equal to Median,Lower than Median,1
62,60,16,14,20,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
45,46,13,12,18,graduate,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,39,12,12,16,bachelor's,yes,east north central,above average,Lower than Median,Lower than Median,1
44,48,16,20,18,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,35,12,12,16,associate/junior college,yes,east north central,below average,Lower than Median,Lower than Median,1
49,31,12,16,16,bachelor's,yes,east north central,average,Lower than Median,Above and Equal to Median,1
39,50,12,12,13,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
31,48,12,10,16,bachelor's,yes,east north central,average,Above and Equal to Median,Lower than Median,1
35,35,12,12,12,high school,no,east north central,far below average,Lower than Median,Lower than Median,0
47,40,12,13,14,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
45,40,13,12,16,bachelor's,yes,east north central,average,Lower than Median,Above and Equal to Median,1
25,25,3,4,12,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
46,53,17,14,15,associate/junior college,no,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
39,37,14,12,16,bachelor's,yes,east north central,above average,Lower than Median,Above and Equal to Median,1
27,47,16,18,18,graduate,yes,east north central,far above average,Above and Equal to Median,Lower than Median,1
48,44,12,13,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
53,39,16,16,16,graduate,yes,west north central,below average,Lower than Median,Above and Equal to Median,1
26,50,8,14,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Lower than Median,1
48,66,12,7,15,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
54,35,14,18,14,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
69,53,12,12,13,high school,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
25,28,9,12,12,high school,yes,east north central,below average,Lower than Median,Lower than Median,0
28,40,10,8,10,less than high school,yes,east north central,below average,Lower than Median,Lower than Median,0
31,45,14,12,12,bachelor's,yes,east north central,above average,Above and Equal to Median,Lower than Median,1
46,57,20,18,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,32,12,12,16,bachelor's,yes,east north central,below average,Lower than Median,Lower than Median,1
25,35,8,14,17,bachelor's,yes,east north central,below average,Lower than Median,Lower than Median,1
26,56,12,12,14,high school,yes,east north central,below average,Above and Equal to Median,Lower than Median,0
64,53,14,16,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
33,48,6,2,18,graduate,yes,east north central,average,Above and Equal to Median,Lower than Median,1
47,39,12,12,12,high school,yes,east north central,below average,Lower than Median,Above and Equal to Median,0
31,35,8,8,9,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
38,36,6,8,12,high school,yes,east north central,far below average,Lower than Median,Lower than Median,0
31,70,14,12,12,high school,yes,east north central,average,Above and Equal to Median,Lower than Median,0
24,28,12,12,19,bachelor's,yes,east north central,below average,Lower than Median,Lower than Median,1
24,53,12,12,12,high school,yes,east north central,average,Above and Equal to Median,Lower than Median,0
22,33,12,12,18,graduate,yes,east north central,average,Lower than Median,Lower than Median,1
64,39,12,16,11,high school,yes,mountain,average,Lower than Median,Above and Equal to Median,0
35,62,12,12,12,high school,yes,pacific,average,Above and Equal to Median,Lower than Median,0
47,60,18,16,18,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
48,38,12,12,13,high school,yes,east north central,average,Lower than Median,Above and Equal to Median,0
59,44,12,12,16,bachelor's,yes,east north central,above average,Above and Equal to Median,Above and Equal to Median,1
16,39,16,13,20,graduate,yes,east north central,above average,Lower than Median,Lower than Median,1
32,35,12,10,12,high school,yes,east north central,average,Lower than Median,Lower than Median,0
55,53,16,16,14,high school,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,0
25,35,12,12,12,high school,yes,east north central,average,Lower than Median,Lower than Median,0
35,42,0,0,13,high school,yes,east north central,average,Lower than Median,Lower than Median,0
35,39,15,14,17,bachelor's,yes,west north central,average,Lower than Median,Lower than Median,1
51,47,12,12,13,high school,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
33,34,12,14,12,high school,yes,pacific,below average,Lower than Median,Lower than Median,0
64,61,18,18,16,bachelor's,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,1
24,46,6,8,14,high school,yes,east north central,far below average,Above and Equal to Median,Lower than Median,0
31,72,16,12,11,less than high school,yes,east north central,far below average,Above and Equal to Median,Lower than Median,0
64,45,18,14,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
48,45,13,12,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
28,28,12,13,20,bachelor's,yes,east north central,average,Lower than Median,Lower than Median,1
47,60,16,16,16,graduate,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
48,39,15,15,16,graduate,no,pacific,below average,Lower than Median,Above and Equal to Median,1
69,37,12,16,12,high school,yes,west north central,below average,Lower than Median,Above and Equal to Median,0
31,62,16,12,13,high school,yes,middle atlantic,average,Above and Equal to Median,Lower than Median,0
21,45,11,11,13,high school,yes,east north central,average,Above and Equal to Median,Lower than Median,0
25,44,12,0,10,less than high school,yes,west north central,far below average,Above and Equal to Median,Lower than Median,0
31,27,15,12,11,high school,yes,west north central,below average,Lower than Median,Lower than Median,0
47,35,12,12,16,bachelor's,yes,west north central,above average,Lower than Median,Above and Equal to Median,1
61,29,12,16,11,less than high school,yes,west north central,below average,Lower than Median,Above and Equal to Median,0
36,45,10,14,13,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
36,44,12,12,14,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
31,36,12,12,12,high school,yes,west north central,average,Lower than Median,Lower than Median,0
35,28,12,12,13,high school,yes,west north central,average,Lower than Median,Lower than Median,0
35,35,8,10,12,high school,yes,west north central,far below average,Lower than Median,Lower than Median,0
47,48,12,12,16,bachelor's,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
46,62,13,18,14,high school,yes,south atlantic,below average,Above and Equal to Median,Above and Equal to Median,0
36,42,14,12,14,associate/junior college,yes,west north central,average,Lower than Median,Lower than Median,1
64,38,12,12,7,less than high school,no,west north central,far below average,Lower than Median,Above and Equal to Median,0
47,49,13,12,14,high school,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,0
25,34,6,8,12,high school,yes,west north central,below average,Lower than Median,Lower than Median,0
45,62,12,12,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
31,53,12,12,12,high school,yes,west south central,far below average,Above and Equal to Median,Lower than Median,0
61,62,18,18,13,high school,yes,south atlantic,above average,Above and Equal to Median,Above and Equal to Median,0
36,32,12,12,12,high school,yes,west north central,average,Lower than Median,Lower than Median,0
35,45,16,12,12,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
64,64,14,14,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
69,66,17,13,16,high school,yes,east north central,below average,Above and Equal to Median,Above and Equal to Median,0
25,42,6,8,12,high school,yes,west north central,average,Lower than Median,Lower than Median,0
31,66,16,16,14,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
32,38,6,8,12,high school,yes,west north central,average,Lower than Median,Lower than Median,0
63,35,6,12,12,high school,yes,pacific,below average,Lower than Median,Above and Equal to Median,0
27,40,8,12,12,high school,yes,west north central,far below average,Lower than Median,Lower than Median,0
39,30,8,14,18,bachelor's,yes,west north central,below average,Lower than Median,Above and Equal to Median,1
33,44,8,12,16,high school,yes,pacific,far below average,Above and Equal to Median,Lower than Median,0
43,43,12,12,19,bachelor's,yes,west north central,average,Lower than Median,Above and Equal to Median,1
60,70,12,10,13,high school,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,0
31,45,13,14,16,bachelor's,yes,mountain,average,Above and Equal to Median,Lower than Median,1
48,39,16,14,12,high school,yes,west north central,average,Lower than Median,Above and Equal to Median,0
47,31,6,12,12,high school,yes,west north central,average,Lower than Median,Above and Equal to Median,0
51,72,16,16,20,bachelor's,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
61,35,13,12,18,graduate,no,pacific,above average,Lower than Median,Above and Equal to Median,1
64,48,16,16,19,graduate,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,1
35,46,12,10,12,high school,yes,west north central,below average,Above and Equal to Median,Lower than Median,0
50,47,12,12,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
48,43,6,12,14,high school,yes,west north central,above average,Lower than Median,Above and Equal to Median,0
64,72,16,16,16,bachelor's,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
24,49,8,12,12,high school,yes,west north central,below average,Above and Equal to Median,Lower than Median,0
45,43,12,12,12,high school,yes,west north central,average,Lower than Median,Above and Equal to Median,0
35,45,12,6,16,bachelor's,yes,west south central,below average,Above and Equal to Median,Lower than Median,1
55,47,14,12,14,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
32,38,12,12,12,high school,yes,pacific,above average,Lower than Median,Lower than Median,0
28,31,6,12,11,less than high school,yes,mountain,below average,Lower than Median,Lower than Median,0
51,60,16,15,14,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
47,53,10,12,14,associate/junior college,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
31,72,15,12,16,graduate,yes,west north central,above average,Above and Equal to Median,Lower than Median,1
47,61,16,12,12,high school,yes,west north central,average,Above and Equal to Median,Above and Equal to Median,0
61,80,20,16,17,bachelor's,yes,west north central,above average,Above and Equal to Median,Above and Equal to Median,1
51,64,20,18,16,bachelor's,no,east south atlantic,far above average,Above and Equal to Median,Above and Equal to Median,1
24,37,8,8,12,high school,yes,west north central,below average,Lower than Median,Lower than Median,0
47,61,16,16,15,high school,yes,west north central,below average,Above and Equal to Median,Above and Equal to Median,0
35,45,14,12,12,high school,no,pacific,below average,Above and Equal to Median,Lower than Median,0
39,32,12,12,15,associate/junior college,yes,west north central,below average,Lower than Median,Above and Equal to Median,1
31,46,7,9,12,high school,yes,west south central,average,Above and Equal to Median,Lower than Median,0
61,31,11,16,14,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
47,39,12,14,9,less than high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
31,38,12,12,16,bachelor's,yes,middle atlantic,below average,Lower than Median,Lower than Median,1
65,72,16,12,12,high school,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,0
48,56,13,12,12,high school,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,0
25,44,6,5,15,high school,yes,west south central,average,Above and Equal to Median,Lower than Median,0
28,37,8,12,13,high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
61,80,20,16,18,bachelor's,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,1
47,39,16,12,15,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
31,42,8,12,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
36,31,5,12,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
32,35,12,12,18,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
31,46,3,13,16,bachelor's,yes,west south central,average,Above and Equal to Median,Lower than Median,1
35,35,12,12,13,high school,yes,west south central,average,Lower than Median,Lower than Median,0
26,27,12,12,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
25,27,7,8,16,bachelor's,yes,west south central,far below average,Lower than Median,Lower than Median,1
46,40,12,8,12,high school,yes,west south central,above average,Lower than Median,Above and Equal to Median,0
43,38,13,12,13,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
38,58,12,16,14,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Lower than Median,1
35,44,0,5,12,less than high school,yes,west south central,far below average,Above and Equal to Median,Lower than Median,0
35,50,12,12,11,less than high school,yes,west south central,average,Above and Equal to Median,Lower than Median,0
25,36,12,14,12,high school,yes,west south central,below average,Lower than Median,Lower than Median,0
47,50,20,12,17,graduate,yes,east south atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
33,40,5,7,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
47,66,13,14,17,bachelor's,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,1
27,27,6,7,11,less than high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
48,45,8,10,16,bachelor's,no,west south central,average,Above and Equal to Median,Above and Equal to Median,1
31,53,16,14,16,bachelor's,yes,west south central,average,Above and Equal to Median,Lower than Median,1
31,42,14,14,12,high school,yes,west south central,below average,Lower than Median,Lower than Median,0
31,49,13,12,17,graduate,yes,west south central,average,Above and Equal to Median,Lower than Median,1
33,35,10,10,13,high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
45,53,16,12,19,graduate,yes,west south central,far above average,Above and Equal to Median,Above and Equal to Median,1
30,45,12,10,16,bachelor's,yes,west south central,average,Above and Equal to Median,Lower than Median,1
49,32,12,14,12,high school,yes,east north central,below average,Lower than Median,Above and Equal to Median,0
39,46,12,12,15,associate/junior college,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
33,24,3,8,14,high school,yes,west south central,average,Lower than Median,Lower than Median,0
47,66,16,12,17,bachelor's,yes,west south central,far below average,Above and Equal to Median,Above and Equal to Median,1
31,62,12,12,10,less than high school,yes,west south central,far below average,Above and Equal to Median,Lower than Median,0
50,60,18,18,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
47,66,16,12,20,graduate,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
36,73,18,13,16,bachelor's,yes,west south central,below average,Above and Equal to Median,Lower than Median,1
47,39,12,12,12,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
24,32,16,12,14,high school,yes,west north central,average,Lower than Median,Lower than Median,0
40,38,12,11,16,associate/junior college,yes,west south central,below average,Lower than Median,Above and Equal to Median,1
47,46,12,12,11,high school,yes,pacific,average,Above and Equal to Median,Above and Equal to Median,0
31,50,12,12,12,high school,yes,pacific,above average,Above and Equal to Median,Lower than Median,0
28,45,12,10,16,bachelor's,yes,west south central,average,Above and Equal to Median,Lower than Median,1
32,35,7,12,14,high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
47,34,14,14,17,bachelor's,yes,west south central,below average,Lower than Median,Above and Equal to Median,1
62,62,12,20,14,associate/junior college,yes,pacific,far below average,Above and Equal to Median,Above and Equal to Median,1
48,49,16,16,17,bachelor's,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,1
53,74,20,16,16,bachelor's,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
48,72,16,18,16,bachelor's,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
28,38,12,12,16,bachelor's,yes,west north central,average,Lower than Median,Lower than Median,1
45,39,12,12,16,bachelor's,yes,west south central,above average,Lower than Median,Above and Equal to Median,1
44,64,18,14,19,graduate,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
48,44,12,8,12,high school,yes,west south central,below average,Above and Equal to Median,Above and Equal to Median,0
56,72,16,15,15,graduate,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
49,72,16,12,16,bachelor's,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
69,35,14,16,12,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
48,24,16,12,16,bachelor's,yes,west north central,above average,Lower than Median,Above and Equal to Median,1
31,35,3,5,20,graduate,yes,east north central,far below average,Lower than Median,Lower than Median,1
32,40,9,14,14,high school,yes,west south central,below average,Lower than Median,Lower than Median,0
32,45,12,14,12,high school,yes,west south central,far below average,Above and Equal to Median,Lower than Median,0
40,25,14,14,18,graduate,yes,west north central,average,Lower than Median,Above and Equal to Median,1
48,40,8,12,15,associate/junior college,yes,west south central,below average,Lower than Median,Above and Equal to Median,1
25,42,17,14,15,high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
34,37,12,12,16,bachelor's,yes,west south central,below average,Lower than Median,Lower than Median,1
31,35,8,8,20,associate/junior college,yes,west south central,below average,Lower than Median,Lower than Median,1
35,60,16,16,16,associate/junior college,yes,south atlantic,above average,Above and Equal to Median,Lower than Median,1
64,71,20,16,16,bachelor's,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
34,42,8,13,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
31,24,7,10,9,high school,yes,east north central,above average,Lower than Median,Lower than Median,0
35,28,9,12,15,graduate,yes,west south central,below average,Lower than Median,Lower than Median,1
45,40,8,11,12,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
32,39,10,10,16,bachelor's,yes,middle atlantic,far below average,Lower than Median,Lower than Median,1
47,75,16,16,18,graduate,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
45,70,16,12,16,graduate,yes,east north central,far below average,Above and Equal to Median,Above and Equal to Median,1
32,48,14,12,17,bachelor's,yes,south atlantic,above average,Above and Equal to Median,Lower than Median,1
60,39,12,16,16,bachelor's,yes,west south central,average,Lower than Median,Above and Equal to Median,1
41,28,7,8,14,high school,yes,mountain,average,Lower than Median,Above and Equal to Median,0
55,62,16,12,18,graduate,no,mountain,above average,Above and Equal to Median,Above and Equal to Median,1
33,36,12,12,14,high school,yes,west south central,above average,Lower than Median,Lower than Median,0
47,50,12,12,14,high school,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,0
61,46,12,12,18,graduate,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
32,45,12,12,12,high school,yes,west north central,average,Above and Equal to Median,Lower than Median,0
45,65,16,16,14,associate/junior college,no,south atlantic,far below average,Above and Equal to Median,Above and Equal to Median,1
38,50,16,16,16,bachelor's,yes,west south central,above average,Above and Equal to Median,Lower than Median,1
48,34,11,9,12,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
24,36,12,12,16,bachelor's,yes,west south central,above average,Lower than Median,Lower than Median,1
69,33,14,13,20,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
38,49,12,12,12,high school,yes,west south central,average,Above and Equal to Median,Lower than Median,0
38,72,12,13,13,high school,yes,mountain,average,Above and Equal to Median,Lower than Median,0
48,27,6,12,12,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
32,27,2,2,6,less than high school,no,pacific,far below average,Lower than Median,Lower than Median,0
47,61,16,12,16,bachelor's,no,pacific,average,Above and Equal to Median,Above and Equal to Median,1
47,44,8,14,14,associate/junior college,yes,middle atlantic,below average,Above and Equal to Median,Above and Equal to Median,1
38,39,3,9,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
64,48,18,16,14,associate/junior college,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
31,62,12,12,11,high school,yes,west south central,below average,Above and Equal to Median,Lower than Median,0
33,28,12,12,17,bachelor's,yes,middle atlantic,average,Lower than Median,Lower than Median,1
64,59,12,12,16,bachelor's,no,pacific,below average,Above and Equal to Median,Above and Equal to Median,1
35,38,12,7,12,high school,yes,middle atlantic,above average,Lower than Median,Lower than Median,0
38,48,16,16,16,bachelor's,yes,west south central,average,Above and Equal to Median,Lower than Median,1
44,39,11,10,20,graduate,yes,pacific,average,Lower than Median,Above and Equal to Median,1
36,31,8,6,10,less than high school,yes,west south central,below average,Lower than Median,Lower than Median,0
33,33,12,12,15,associate/junior college,yes,west north central,below average,Lower than Median,Lower than Median,1
25,24,6,12,12,high school,no,west south central,average,Lower than Median,Lower than Median,0
47,51,18,12,16,bachelor's,yes,east north central,average,Above and Equal to Median,Above and Equal to Median,1
31,50,6,6,18,graduate,no,west south central,above average,Above and Equal to Median,Lower than Median,1
25,35,0,0,0,less than high school,no,mountain,below average,Lower than Median,Lower than Median,0
38,43,14,14,13,high school,no,pacific,below average,Lower than Median,Lower than Median,0
31,31,7,5,20,graduate,no,west south central,above average,Lower than Median,Lower than Median,1
47,38,10,15,13,high school,yes,west south central,below average,Lower than Median,Above and Equal to Median,0
38,38,14,13,20,graduate,yes,west south central,average,Lower than Median,Lower than Median,1
48,24,12,12,10,high school,yes,west south central,far below average,Lower than Median,Above and Equal to Median,0
25,35,9,6,14,associate/junior college,yes,west south central,above average,Lower than Median,Lower than Median,1
35,50,12,12,12,high school,yes,west south central,average,Above and Equal to Median,Lower than Median,0
25,50,9,6,6,less than high school,no,west south central,far below average,Above and Equal to Median,Lower than Median,0
37,35,12,8,12,high school,no,pacific,average,Lower than Median,Lower than Median,0
31,62,14,7,20,graduate,yes,west south central,below average,Above and Equal to Median,Lower than Median,1
28,32,12,12,14,bachelor's,yes,west south central,average,Lower than Median,Lower than Median,1
45,44,14,11,14,high school,yes,west south central,far below average,Above and Equal to Median,Above and Equal to Median,0
31,66,12,12,15,associate/junior college,yes,pacific,above average,Above and Equal to Median,Lower than Median,1
64,39,12,16,11,high school,yes,west south central,above average,Lower than Median,Above and Equal to Median,0
35,44,12,8,14,associate/junior college,yes,west south central,below average,Above and Equal to Median,Lower than Median,1
47,63,14,14,18,graduate,yes,west south central,average,Above and Equal to Median,Above and Equal to Median,1
53,60,17,14,18,bachelor's,yes,middle atlantic,above average,Above and Equal to Median,Above and Equal to Median,1
16,35,12,12,13,high school,yes,east south atlantic,average,Lower than Median,Lower than Median,0
25,27,4,11,9,less than high school,yes,west south central,far above average,Lower than Median,Lower than Median,0
31,35,10,10,18,graduate,yes,south atlantic,below average,Lower than Median,Lower than Median,1
31,38,0,12,15,graduate,yes,west north central,below average,Lower than Median,Lower than Median,1
48,80,20,16,11,less than high school,no,west south central,average,Above and Equal to Median,Above and Equal to Median,0
35,35,16,6,18,graduate,yes,west south central,average,Lower than Median,Lower than Median,1
31,42,4,4,5,less than high school,yes,west south central,far below average,Lower than Median,Lower than Median,0
36,38,12,12,18,graduate,yes,west south central,below average,Lower than Median,Lower than Median,1
27,39,8,0,12,high school,yes,west south central,average,Lower than Median,Lower than Median,0
35,47,12,12,14,associate/junior college,yes,west north central,above average,Above and Equal to Median,Lower than Median,1
48,45,20,0,15,high school,yes,west south central,far below average,Above and Equal to Median,Above and Equal to Median,0
40,70,16,16,14,high school,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,0
47,39,12,12,13,high school,yes,west south central,average,Lower than Median,Above and Equal to Median,0
35,38,12,14,14,high school,yes,west south central,average,Lower than Median,Lower than Median,0
69,60,16,16,20,bachelor's,yes,west south central,above average,Above and Equal to Median,Above and Equal to Median,1
